zip_code,Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Estimate!!Families!!Median income (dollars),Margin of Error!!Families!!Median income (dollars),Estimate!!Married-couple families!!Median income (dollars),Margin of Error!!Married-couple families!!Median income (dollars),Estimate!!Nonfamily households!!Median income (dollars),Margin of Error!!Nonfamily households!!Median income (dollars)
45651,52958,10164,60542,4058,64895,5830,22721,5920
45652,39667,5504,47725,17552,78611,17838,22845,6326
45653,64207,22493,81000,17581,90552,20623,28750,12859
45654,55261,9618,55479,8590,58106,5856,27321,26211
45656,47972,3642,49077,2539,52107,5600,30479,10258
45657,42065,13436,49526,12464,56406,15455,21066,6706
45658,46129,7697,56875,8836,58649,9160,12083,9421
45659,33628,4267,40337,18713,62083,27756,-,**
45660,38633,4286,39070,3028,52226,17712,26960,8614
45661,38864,5042,44624,7247,63059,11407,21938,8486
45662,32975,4370,45057,5187,65596,3728,20123,2004
45663,42284,8520,48551,11625,59604,10141,21335,7427
45669,53830,5549,64335,7983,70934,6877,30700,3145
45671,40313,8312,42031,8237,45417,19948,20625,15580
45672,66357,16883,66536,21767,-,**,-,**
45673,31757,11132,-,**,-,**,31058,16095
45674,34286,18575,70938,54098,70938,51191,21250,12294
45678,47955,6193,49692,17538,52656,18473,-,**
45679,36250,11521,50288,15883,74688,15442,18676,7127
45680,44535,6318,62166,5407,73646,12065,31185,4582
45681,59083,22880,69716,17604,70067,15154,29375,19793
45682,26607,13250,47067,8022,55464,8126,10288,2412
45684,44722,13620,58537,12819,59468,18014,23835,9050
45685,46510,16130,54375,36984,73137,27699,31042,5091
45686,48218,11862,61063,15416,70078,11335,15179,3954
45688,36250,13246,44224,5888,46250,10292,-,**
45690,51413,6661,67206,10934,78611,8623,31142,9463
45692,44809,5363,51844,5069,54839,12271,23653,4640
45693,38478,6275,52771,6572,61089,10112,17217,3733
45694,58125,9459,71330,6763,85346,10592,25196,6712
45695,37102,11352,49375,15201,68063,31316,21510,4077
45696,31229,6565,33309,28253,33824,27651,26518,11805
45697,61325,11464,77241,12178,81875,14504,19612,7240
45698,30192,14909,45625,26029,51161,17193,-,**
45701,41991,2968,77045,4075,87102,5400,23655,3004
45710,55043,5150,64572,8534,76591,11249,36458,10524
45711,49792,15267,57500,25489,70759,18789,35568,11557
45714,47924,5373,59301,4989,64358,10099,28542,4540
45715,39716,11363,59688,4775,65250,8401,24821,5830
45716,35694,16710,47083,32523,48750,37277,25179,20334
45719,29677,4422,36250,9437,43000,16937,22019,6265
45721,-,**,-,**,-,**,-,**
45723,52863,10211,76776,10972,80000,12754,21649,9412
45724,53308,5073,49120,10137,52031,28485,53846,32503
45727,35691,3930,36447,1873,36645,2081,30446,12696
45729,77689,13106,103869,26519,106406,25235,39688,7129
45732,35625,7210,48105,9485,55000,7863,19456,3116
45734,35272,18981,-,**,65000,46785,35852,12732
45735,54196,9970,80893,20192,86250,20326,33833,16514
45740,33333,12446,36458,13206,54500,18584,23036,6182
45741,17470,17029,-,**,92778,40231,16875,9163
45742,77896,20917,86980,13678,97000,18203,32891,19206
45743,46574,11503,54732,15148,59625,26649,29306,13593
45744,47945,9444,49050,9849,58947,12952,20952,16423
45745,48704,16007,57727,20164,76131,15247,28750,15788
45746,33929,19139,48125,19123,56750,15336,19213,13492
45750,45900,2407,62549,5687,79919,6810,27641,2543
45760,37330,7264,54464,15319,75278,14554,21648,4431
45761,35417,22087,37375,27142,58929,34483,29583,19575
45764,41563,6578,63200,9471,72332,7836,21824,4390
45766,38098,13673,48710,15349,53482,17655,21071,18036
45767,48028,5417,54773,9492,58931,13304,24596,14119
45768,41905,20096,52167,45537,67639,45109,19514,18094
45769,42982,2850,51211,4352,52177,10270,21453,4765
45770,45848,39283,114327,42333,121111,34141,13125,6842
45771,45625,6284,55104,12388,61912,8048,25896,6314
45772,51808,8677,53333,12453,65278,13545,-,**
45773,-,**,-,**,-,**,-,**
45775,47628,3697,49719,30623,49654,37515,27885,21628
45776,46493,13919,56731,32423,56731,32423,24028,10088
45778,37083,7968,32250,18409,53587,11628,41136,7926
45779,65000,7630,70917,24631,72083,32420,-,**
45780,33264,16684,52333,21063,64960,8091,19391,4823
45782,19516,6820,21250,18511,38333,27092,13056,4418
45784,50839,9244,66125,23753,72768,23071,23563,10746
45786,70049,9821,75714,10173,81379,5297,-,**
45787,-,**,-,**,-,**,-,**
45788,65852,16430,67184,39601,91250,27312,36563,19988
45789,-,**,-,**,-,**,-,**
45801,43037,2743,53080,7230,67331,5079,25841,2133
45804,34218,2141,43566,5067,62938,2707,25098,2621
45805,53523,3071,65576,3988,78596,5910,27861,3699
45806,68218,3917,78059,6742,85640,4334,38088,5420
45807,65617,5472,79387,6471,84363,4982,35677,8812
45808,60313,12755,72500,18452,73125,26907,50000,10630
45809,71471,12796,72132,18288,72132,18288,-,**
45810,54570,11621,70417,7607,77071,9889,34100,4737
45812,44107,5802,46016,4353,52097,7930,32031,8394
45813,52400,6780,70987,10726,78333,11581,30000,7969
45814,62339,14468,77188,15733,88424,5798,21875,6342
45816,49519,18306,67500,11426,76458,20430,35179,20963
45817,76699,5070,86937,4855,90026,5601,32039,16358
45819,52159,10480,56250,22918,89063,22700,27500,14638
45820,51346,7534,55417,14852,76250,19133,35909,6716
45821,52371,9611,65298,6606,66845,17133,28036,9477
45822,55072,4184,67227,3359,71860,2234,37146,5359
45826,69750,22302,100903,13498,101944,2299,29167,9657
45827,83550,5994,86974,7211,94688,11420,32330,7197
45828,63636,7100,79914,14310,84607,10342,37500,5312
45830,58466,3170,69173,6920,80598,7566,48029,9601
45831,53730,6605,62794,25353,86875,15191,30268,9617
45832,62902,6207,66445,11431,84511,10497,37813,11838
45833,61545,5039,74426,4125,85229,5838,25500,4245
45835,55000,16367,59554,17506,59464,17852,41563,19770
45836,48942,8795,60250,10984,72083,12741,30625,8281
45838,18958,18335,-,**,70000,67256,-,**
45840,56470,2050,75858,1972,89344,3735,32830,2332
45841,69659,11374,73333,12589,73571,14229,-,**
45843,58791,7485,68611,12277,77917,14020,30905,2641
45844,73646,6508,82917,9285,86389,11140,35813,7336
45845,70117,10988,88864,17067,93029,13303,37434,14638
45846,70163,9481,83125,7814,92583,9211,33295,10147
45849,53000,9358,62500,10512,67647,11726,29063,11466
45850,65313,7021,73884,8629,80547,10723,40000,9032
45851,65089,7724,67554,9607,69946,32068,30556,4883
45853,75375,29315,101944,7657,104398,5238,39643,14471
45854,51500,20716,43036,20380,-,**,-,**
45855,56250,18704,86250,44003,88750,61602,33500,9225
45856,55820,6104,75655,9449,83558,10605,33571,10212
45858,59167,10195,67316,18402,76625,22808,27202,20376
45859,42417,8175,56250,22827,70536,14341,12917,8161
45860,89597,10292,93750,23945,107938,26484,54632,30622
45861,51875,15691,57500,21921,78750,32975,45417,29006
45862,45568,8257,58500,12862,62574,10847,29412,8075
45863,62803,6622,63380,9326,70592,9298,32188,7628
45864,56250,17710,70000,11351,71875,15053,33929,8067
45865,77736,5400,92313,6253,101765,6075,45265,5039
45866,44107,14853,61875,35023,78125,16195,35000,15682
45867,77639,12123,79128,2265,80809,6215,47917,26215
45868,79444,11949,83456,9506,86250,13704,41771,10678
45869,77257,12517,98250,10548,101657,6055,35595,12860
45870,97500,87927,97500,87927,105500,70298,-,**
45871,66563,11576,77917,7956,86705,11366,40486,15287
45872,58341,10594,70000,15705,79550,16010,29696,6358
45873,52287,9645,57596,7445,61226,2963,34000,14619
45874,63077,12615,69300,11414,75865,12076,36250,11554
45875,70250,6480,84972,10894,105185,5023,36020,9225
45876,65000,8228,76563,11855,91250,27873,42500,9911
45877,65833,10741,73750,11671,78750,10754,42212,6574
45879,53466,8695,67163,4720,74896,7559,28952,4339
45880,63191,6976,74856,3669,82782,5857,34076,5860
45881,79063,12248,82500,31667,107930,29512,64583,26709
45882,55431,6630,72266,18380,82625,10709,33750,11743
45883,81818,7420,87866,5247,91932,12370,39868,6235
45884,-,**,-,**,-,**,-,**
45885,62426,4666,81032,6078,89596,3626,31490,6697
45886,71250,25839,53750,25375,78750,40134,101250,49863
45887,51957,6915,61296,5402,72633,8916,26646,3104
45888,41573,604,41532,4319,41164,1220,41613,7217
45889,102197,10108,105412,6994,105592,7068,40607,12422
45890,71250,9695,95833,15691,97083,10843,37955,3427
