zip_code,Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),Percent!!SEX AND AGE!!Total population!!15 to 19 years,Percent!!SEX AND AGE!!Total population!!20 to 24 years,Percent!!SEX AND AGE!!Total population!!65 years and over
02333,91.5,5.5,5.2,15.4
02338,87.3,5.3,7.6,15.2
02339,94.2,8.2,5.4,16.7
02341,99.9,6.9,7.5,17.5
02343,92.0,11.1,4.4,17.8
02346,104.9,6.3,6.2,18.9
02347,101.9,6.7,4.6,15.8
02351,97.7,5.0,7.6,14.9
02356,89.1,8.0,7.4,15.1
02357,126.2,63.4,26.2,4.1
02359,95.8,7.8,5.8,15.2
02360,93.4,5.4,5.5,21.9
02364,91.3,8.6,5.6,19.2
02366,-,0.0,4.5,13.1
02367,108.8,5.8,4.6,18.0
02368,91.4,5.9,7.9,15.6
02370,91.7,4.6,5.8,15.8
02375,89.4,7.2,6.6,16.4
02379,95.6,7.1,5.7,18.7
02382,98.0,8.4,6.1,12.8
02420,93.7,7.9,3.6,18.9
02421,94.2,7.1,2.7,20.3
02445,93.0,4.6,10.9,14.8
02446,88.4,4.6,11.9,15.8
02451,99.8,3.0,6.9,16.7
02452,96.6,14.2,16.6,13.7
02453,91.9,8.0,13.0,12.2
02457,80.4,49.5,49.5,0.0
02458,91.9,5.9,5.5,15.6
02459,88.7,11.8,5.3,21.6
02460,87.5,8.1,5.5,17.0
02461,90.1,7.2,2.2,18.7
02462,73.2,8.6,4.2,16.8
02464,92.0,5.5,3.5,13.3
02465,92.3,6.6,3.8,16.4
02466,81.0,13.8,11.0,17.7
02467,79.5,15.6,19.9,15.8
02468,88.2,6.7,2.2,22.2
02472,87.7,3.3,4.6,16.1
02474,87.4,5.2,3.4,14.9
02476,85.3,5.0,3.6,19.7
02478,86.5,6.3,3.8,16.4
02481,70.5,13.1,8.7,13.2
02482,85.1,8.7,5.7,19.5
02492,94.3,8.4,4.5,20.1
02493,91.6,10.1,5.5,21.0
02494,88.1,5.8,4.2,16.4
02532,93.5,6.2,7.3,25.4
02534,121.8,18.4,4.7,17.1
02535,93.1,7.5,6.5,25.6
02536,101.5,5.9,4.3,26.6
02537,98.7,4.4,6.2,21.4
02538,86.5,4.2,10.2,10.2
02539,101.0,8.3,7.9,19.9
02540,81.8,5.4,2.8,40.5
02542,155.1,1.6,15.5,0.0
02543,41.4,0.0,2.6,51.9
02553,14.4,0.0,0.0,100.0
02554,103.8,5.3,3.3,14.1
02556,79.8,4.2,1.6,39.6
02557,95.2,5.5,1.4,22.7
02558,96.6,5.6,6.0,46.2
02559,104.9,4.9,6.2,36.3
02561,322.9,4.4,15.9,26.4
02562,89.0,6.4,6.8,20.8
02563,93.7,7.8,6.2,25.7
02564,180.7,18.5,8.6,36.1
02568,115.1,8.3,2.6,21.0
02571,88.4,4.7,4.9,20.5
02575,72.6,5.7,1.1,32.4
02576,99.0,6.9,4.7,24.0
02584,-,-,-,-
02601,93.6,5.7,5.5,15.5
02630,101.1,2.8,5.0,26.9
02631,92.6,6.3,4.4,32.0
02632,102.9,5.3,4.6,26.4
02633,87.0,2.9,5.6,48.1
02635,84.4,5.5,5.1,30.5
02637,123.6,0.0,0.0,55.3
02638,88.8,2.7,3.5,51.1
02639,104.1,4.4,4.5,21.4
02641,51.6,9.8,7.2,64.4
02642,85.5,5.3,4.5,38.6
02643,-,-,-,-
02644,90.6,6.3,6.9,18.0
02645,88.3,3.3,6.2,30.4
02646,100.4,3.0,3.4,46.3
02647,56.5,0.0,0.0,56.7
02648,97.4,6.5,5.9,20.7
02649,86.0,5.7,4.9,29.0
02650,99.8,0.6,0.4,44.6
02651,212.5,0.0,0.0,0.0
02652,94.6,0.0,0.0,34.6
02653,80.1,3.7,1.3,39.6
02655,99.5,6.4,2.2,36.8
02657,138.2,1.7,3.4,27.6
02659,102.2,4.6,2.7,31.1
02660,85.8,3.7,5.7,36.6
02663,112.5,0.0,0.0,83.3
02664,87.0,3.5,5.7,34.4
02666,163.6,5.5,5.7,44.4
02667,76.6,4.4,8.8,31.1
02668,72.7,5.2,4.7,28.8
02669,237.5,0.0,0.0,70.4
02670,92.7,0.3,3.1,43.2
02671,93.2,0.0,2.3,50.1
02672,125.2,14.1,0.0,45.8
02673,84.0,3.8,5.6,23.5
02675,73.8,3.8,3.5,41.7
02702,88.7,6.5,6.2,16.3
02703,95.8,5.1,4.7,16.9
02713,145.0,0.0,0.0,36.7
02715,85.1,5.6,6.2,11.8
02717,96.8,3.3,4.0,19.3
02718,92.5,4.6,6.8,13.0
02719,93.2,5.0,6.8,22.7
02720,97.6,4.7,7.2,18.5
02721,86.3,4.1,6.4,16.6
02723,109.9,5.4,7.2,14.2
02724,89.0,5.7,6.6,15.7
02725,109.3,7.8,3.9,24.2
02726,96.6,5.3,3.8,23.6
02738,91.1,6.3,2.9,27.0
02739,96.0,7.1,5.6,25.3
02740,90.1,7.0,9.0,16.4
02743,92.9,4.9,5.4,20.1
02744,89.3,7.7,6.3,12.7
02745,97.9,5.8,6.3,15.9
02746,96.1,6.6,7.4,12.0
02747,95.3,11.7,15.1,16.3
02748,82.8,5.5,4.0,28.1
02760,93.3,6.7,4.4,13.0
02762,95.7,4.9,5.7,14.7
02763,94.5,6.2,2.5,6.9
02764,90.3,8.9,6.8,16.0
02766,91.3,10.1,11.5,13.8
02767,85.1,6.8,4.6,19.0
02769,108.3,6.5,7.9,13.1
02770,119.4,8.7,4.9,15.7
02771,87.0,4.5,3.6,18.0
02777,105.1,4.2,4.7,20.1
02779,98.7,6.8,4.4,14.0
02780,91.2,6.0,5.8,15.3
02790,99.3,7.1,4.8,24.3
02791,123.3,7.5,0.0,53.7
02802,103.1,6.9,2.4,1.9
02804,93.4,3.1,8.7,16.0
02806,91.3,7.3,2.5,16.6
02807,86.2,7.8,2.3,23.3
02808,96.4,12.8,4.2,10.9
02809,99.1,13.2,8.9,20.7
02812,124.3,10.4,5.9,12.1
02813,99.1,5.0,6.8,23.9
02814,110.7,4.9,4.7,15.4
02815,128.0,0.0,7.6,11.4
02816,93.2,6.6,5.6,17.2
02817,94.3,6.4,4.5,15.3
02818,89.5,5.4,3.8,21.1
02822,105.2,6.8,13.0,17.6
02825,98.7,9.3,5.0,17.4
02826,102.9,13.6,0.0,23.0
02827,108.9,4.4,5.1,17.0
02828,89.8,5.5,5.2,23.3
02830,97.5,7.1,5.9,15.3
02831,111.6,7.8,6.2,15.8
02832,95.1,5.9,5.7,18.3
02833,64.2,9.1,2.4,15.5
02835,99.6,5.3,2.5,25.5
02836,167.9,0.0,14.7,0.0
02837,104.9,6.2,2.8,32.4
02838,82.7,5.7,5.2,15.9
02839,99.4,6.7,0.9,16.7
02840,84.9,7.6,8.8,19.7
02841,475.0,1.5,49.2,0.0
02842,91.2,4.2,5.5,20.0
02852,95.1,4.9,6.6,20.6
02857,97.6,6.2,7.0,20.9
